,method,seed,mse,mean,std,params,time
0,pair,147,0.19584336876869202,0.3517554998397827,0.26906171441078186,128,0.00026416778564453125
1,block-sqrt-half,147,0.19584333896636963,0.35175764560699463,0.26905888319015503,128,0.00022554397583007812
2,block-sqrt,147,0.1702154576778412,0.32155245542526245,0.2590009868144989,128,0.00011348724365234375
3,lowR-same-param,147,0.13630247116088867,0.29447677731513977,0.22311507165431976,128,8.130073547363281e-05
4,lowR-samex2,147,0.035821735858917236,0.14954277873039246,0.11623886227607727,128,4.673004150390625e-05
5,lowR-half,147,0.035821735858917236,0.14954277873039246,0.11623886227607727,256,4.792213439941406e-05
6,pair-Add,147,2.2897397400356567e-07,0.0002729342086240649,0.0003938104782719165,512,0.0011413097381591797
7,pair-Seq,147,0.00025078747421503067,0.01170213520526886,0.010690835304558277,512,0.0011539459228515625
8,pair,258,0.1702578216791153,0.3179473280906677,0.26351198554039,128,0.00026488304138183594
9,block-sqrt-half,258,0.1702578067779541,0.31794893741607666,0.2635100483894348,128,0.0002315044403076172
10,block-sqrt,258,0.12451080977916718,0.27150893211364746,0.22581610083580017,128,0.00011730194091796875
11,lowR-same-param,258,0.11062496155500412,0.2652912735939026,0.20100578665733337,128,5.602836608886719e-05
12,lowR-samex2,258,0.031059905886650085,0.1383799910545349,0.10935078561306,128,5.53131103515625e-05
13,lowR-half,258,0.031059905886650085,0.1383799910545349,0.10935078561306,256,4.291534423828125e-05
14,pair-Add,258,3.2282596862387436e-07,0.00035549860331229866,0.00044409133261069655,512,0.0011088848114013672
15,pair-Seq,258,0.0008255148422904313,0.02039441280066967,0.02027779445052147,512,0.0010876655578613281
16,pair,369,0.14613929390907288,0.30094173550605774,0.23620179295539856,128,0.0002770423889160156
17,block-sqrt-half,369,0.14613929390907288,0.30093586444854736,0.23620933294296265,128,0.00022220611572265625
18,block-sqrt,369,0.10937172174453735,0.2571100890636444,0.20841258764266968,128,0.00011515617370605469
19,lowR-same-param,369,0.0986732542514801,0.25026634335517883,0.19021393358707428,128,5.14984130859375e-05
20,lowR-samex2,369,0.022835735231637955,0.1179293543100357,0.09467532485723495,128,4.649162292480469e-05
21,lowR-half,369,0.022835735231637955,0.1179293543100357,0.09467532485723495,256,4.76837158203125e-05
22,pair-Add,369,1.3587342095888744e-07,0.00022014911519363523,0.0002962271682918072,512,0.0011942386627197266
23,pair-Seq,369,0.00023984395375009626,0.010530665516853333,0.011377817019820213,512,0.0011272430419921875
24,pair,321,0.1762133240699768,0.3395417332649231,0.24731290340423584,128,0.0002720355987548828
25,block-sqrt-half,321,0.1762133687734604,0.3395465612411499,0.24730628728866577,128,0.000232696533203125
26,block-sqrt,321,0.14456093311309814,0.29872995615005493,0.23566561937332153,128,0.00015497207641601562
27,lowR-same-param,321,0.12137014418840408,0.284929484128952,0.20085546374320984,128,5.1975250244140625e-05
28,lowR-samex2,321,0.034917332231998444,0.14695630967617035,0.11564347892999649,128,4.458427429199219e-05
29,lowR-half,321,0.034917332231998444,0.14695630967617035,0.11564347892999649,256,4.38690185546875e-05
30,pair-Add,321,3.8496530407883256e-08,0.00014250577078200877,0.00013512943405658007,512,0.001123666763305664
31,pair-Seq,321,0.002914176322519779,0.039009276777505875,0.03738867864012718,512,0.0011277198791503906
