,method,seed,mse,mean,std,params,time
0,pair,147,0.30487060546875,0.47161978483200073,0.28713521361351013,4096,0.0004916191101074219
1,block-sqrt-half,147,0.29554036259651184,0.4614512622356415,0.2874097526073456,6144,0.00016188621520996094
2,block-sqrt,147,0.3124859929084778,0.46888822317123413,0.30435386300086975,8192,0.00010776519775390625
3,lowR-same-param,147,0.2636633515357971,0.4302959442138672,0.28019630908966064,8192,5.316734313964844e-05
4,lowR-samex2,147,0.2081719934940338,0.3743427097797394,0.2608458995819092,8192,4.315376281738281e-05
5,lowR-half,147,0.035399872809648514,0.15024566650390625,0.11325329542160034,65536,4.172325134277344e-05
6,pair-Add,147,0.13725006580352783,0.29464197158813477,0.224581778049469,32768,0.0039103031158447266
7,pair-Seq,147,0.13998574018478394,0.3001757264137268,0.22334060072898865,32768,0.004014253616333008
8,pair,258,0.3050459027290344,0.4714699983596802,0.28768593072891235,4096,0.0004794597625732422
9,block-sqrt-half,258,0.2967029809951782,0.46225035190582275,0.2881472706794739,6144,0.0001685619354248047
10,block-sqrt,258,0.31314200162887573,0.4693426191806793,0.30473092198371887,8192,0.0001087188720703125
11,lowR-same-param,258,0.26419419050216675,0.43060019612312317,0.2806757092475891,8192,5.1021575927734375e-05
12,lowR-samex2,258,0.20838098227977753,0.37401947379112244,0.26170873641967773,8192,3.981590270996094e-05
13,lowR-half,258,0.0356944277882576,0.15076996386051178,0.11385537683963776,65536,4.0531158447265625e-05
14,pair-Add,258,0.13609173893928528,0.2939377427101135,0.2229194939136505,32768,0.00403594970703125
15,pair-Seq,258,0.14122094213962555,0.3018648624420166,0.2238287627696991,32768,0.003958463668823242
16,pair,369,0.3036351799964905,0.4702855944633484,0.2871722877025604,4096,0.0004963874816894531
17,block-sqrt-half,369,0.29467523097991943,0.4607177972793579,0.287081241607666,6144,0.0001728534698486328
18,block-sqrt,369,0.31149643659591675,0.4678327739238739,0.3043523132801056,8192,0.00011205673217773438
19,lowR-same-param,369,0.2619469165802002,0.428703248500824,0.27957409620285034,8192,5.14984130859375e-05
20,lowR-samex2,369,0.2069854438304901,0.37300318479537964,0.2604901194572449,8192,4.267692565917969e-05
21,lowR-half,369,0.0353427529335022,0.1496569812297821,0.11377935856580734,65536,4.1484832763671875e-05
22,pair-Add,369,0.1364542841911316,0.29434192180633545,0.22319923341274261,32768,0.004076957702636719
23,pair-Seq,369,0.1408943235874176,0.30149900913238525,0.2235921174287796,32768,0.003931283950805664
24,pair,321,0.30574461817741394,0.4721739888191223,0.2877456843852997,4096,0.00047898292541503906
25,block-sqrt-half,321,0.2964573800563812,0.461901992559433,0.2882797122001648,6144,0.00017261505126953125
26,block-sqrt,321,0.3133676052093506,0.4695773720741272,0.304739385843277,8192,0.00011992454528808594
27,lowR-same-param,321,0.26382336020469666,0.4305872619152069,0.28003424406051636,8192,5.2928924560546875e-05
28,lowR-samex2,321,0.20846761763095856,0.37454742193222046,0.26111850142478943,8192,4.291534423828125e-05
29,lowR-half,321,0.03603275865316391,0.15156641602516174,0.11428289115428925,65536,3.9577484130859375e-05
30,pair-Add,321,0.13633792102336884,0.2940484583377838,0.22332526743412018,32768,0.003919839859008789
